node,demand
agriculture_chp_engine_network_gas,87776.27664
agriculture_chp_engine_biogas,4194.586
agriculture_chp_supercritical_wood_pellets,0
households_collective_chp_network_gas,0
households_collective_chp_biogas,0
households_collective_chp_wood_pellets,0
buildings_collective_chp_network_gas,7698.264697
buildings_collective_chp_wood_pellets,0
