key,demand,max_demand
energy_production_bio_ethanol,1.11780000000000E+04,
energy_production_biodiesel,5.08749800000000E+04,
energy_production_bio_oil,0.00000000000000E+00,
energy_production_biogas,9.90204035920760E+03,
energy_production_biogenic_waste,3.34385900000000E+04,3.45127133733380E+04
energy_production_non_biogenic_waste,2.73587300000000E+04,2.82375544766853E+04
energy_production_wood_pellets,,
energy_production_woody_biomass,,6.13628888205600E+04
energy_production_manure,,
energy_production_corn,,
energy_production_wood,2.55100000000000E+03,
