573,costs_share_of_sustainable_wind,factor,share_of_total_costs_assigned_to_wind,factor,Modules,EnergyMixer,,0
570,electricity_from_wind_and_solar,MJ,electricity_produced_from_wind_and_solar,MJ,Modules,EnergyMixer,,0
572,primary_electricity_from_solar,MJ,primary_demand_of_electricity_assigned_to_solar,MJ,Modules,EnergyMixer,,0
571,primary_electricity_from_wind,MJ,primary_demand_of_electricity_assigned_to_wind,MJ,Modules,EnergyMixer,,0
452,gas_in_euro_per_mwh,euro,price_of_gas,euro/mwh,Input elements,label,Costs,0
462,uranium_in_euro_per_kg,euro,price_of_uranium,euro/kg,Input elements,label,Costs,0
1675,check_divide_final_by_primary_demand,factor,check_dividing_final_demand_by_primary_demand,factor,Modules,Monitoring,Monitoring,0
1674,check_divide_primary_by_useful_demand,factor,check_dividing_primary_demand_by_useful_demand,factor,Modules,Monitoring,Monitoring,0
1673,check_divide_useful_by_final_demand,factor,check_dividing_useful_demand_by_final_demand,factor,Modules,Monitoring,Monitoring,0
1669,final_demand_cbs_total,MJ,final_demand,MJ,Modules,Monitoring,Monitoring,0
1670,final_demand_cbs_total_energetic,MJ,final_energetic_demand,MJ,Modules,Monitoring,Monitoring,0
1671,primary_demand_of_primary_excl_elec_export,MJ,production_and_import_minus_primary_demand_of_export,MJ,Modules,Monitoring,Monitoring,0
1672,primary_demand_of_useful_demand,MJ,primary_demand_of_useful_demand,MJ,Modules,Monitoring,Monitoring,0
1495,chart_biomass_41_electricity_production_792,PJ,biomass_in_source_of_electricity_production,PJ,Output elements,Output series,,0
1491,chart_coal_41_electricity_production_788,PJ,coal_in_source_of_electricity_production,PJ,Output elements,Output series,,0
1502,chart_demand_policy_41_electricity_production_799,PJ,present_demand_in_source_of_electricity_production,PJ,Output elements,Output series,,0
1503,chart_demand_policy_41_electricity_production_800,PJ,future_demand_in_source_of_electricity_production,PJ,Output elements,Output series,,0
1492,chart_gas_41_electricity_production_789,PJ,gas_in_source_of_electricity_production,PJ,Output elements,Output series,,0
1499,chart_geothermal_41_electricity_production_796,PJ,geothermal_in_source_of_electricity_production,PJ,Output elements,Output series,,0
1498,chart_greengas_41_electricity_production_795,PJ,greengas_in_source_of_electricity_production,PJ,Output elements,Output series,,0
1497,chart_hydro_41_electricity_production_794,PJ,hydro_in_source_of_electricity_production,PJ,Output elements,Output series,,0
1494,chart_nuclear_41_electricity_production_791,PJ,nuclear_in_source_of_electricity_production,PJ,Output elements,Output series,,0
1493,chart_oil_41_electricity_production_790,PJ,oil_in_source_of_electricity_production,PJ,Output elements,Output series,,0
1501,chart_solar_41_electricity_production_798,PJ,solar_in_source_of_electricity_production,PJ,Output elements,Output series,,0
1500,chart_waste_41_electricity_production_797,PJ,waste_in_source_of_electricity_production,PJ,Output elements,Output series,,0
1496,chart_wind_41_electricity_production_793,PJ,wind_in_source_of_electricity_production,PJ,Output elements,Output series,,0
116,agriculture_biomass_primary_demand,PJ,primary_demand_of_biomass_from_agriculture,PJ,General,Supporting calculations,,0
443,electricity_cost,euro,average_costs_of_produced_electricity_per_mwh,euro/MWh,General,Supporting calculations,Costs,0
449,land_for_csp,km2,area_used_for_csp,km2,General,Supporting calculations,,0
448,land_for_solar_panels,km2,area_used_for_solar_panels,km2,General,Supporting calculations,,0
446,offshore,km2,area_used_for_offshore_wind,km2,General,Supporting calculations,Goals,0
445,onshore_coast,km2,area_used_for_coastal_wind,km,General,Supporting calculations,Goals,0
444,onshore_land,km2,area_used_for_onshore_wind,km2,General,Supporting calculations,Goals,0
447,roofs_for_solar_panels,km2,roof_used_for_solar_panels,km2,General,Supporting calculations,Goals,0
458,kg_per_tonne,kg,kg_per_tonne,kg,TO_SORT_OUT,TO_SORT_OUT,Conversion rates,0
461,liter_per_barrel,lt,liter_per_barrel,liter/barrel,TO_SORT_OUT,TO_SORT_OUT,Conversion rates,0
451,mj_per_mwh,#,mj_per_mwh,#,TO_SORT_OUT,TO_SORT_OUT,Conversion rates,0
457,dollar_per_euro,$,dollars_per_euro,$,Input elements,label,Conversion rates,0
1141,chart_target_policy_46_co2_emissions_351,kg,target_in_co2_emissions,kg,Output elements,Output series,,0
1473,chart_target_policy_95_co2_emissions_747,,target_in_co2_emissions_corrected_for_import,,Output elements,Output series,,0
517,seconds_per_year,#,seconds_per_year,#,General,Supporting calculations,,0
574,actual_co2_emission_total,,co2_emissions_within_area,kg,General,Supporting calculations,"Co2,Import/Export",0
499,heat_from_biomass_buildings,MJ,heat_produced_from_renewables_in_buildings,MJ,General,Supporting calculations,Output series,0
498,heat_from_biomass_industry,MJ,heat_produced_from_renewables_in_industry,MJ,General,Supporting calculations,Output series,0
497,heat_from_gas_industry,MJ,heat_produced_from_natural_gas_in_industry,MJ,General,Supporting calculations,Output series,0
442,total_energy_cost,bln euro,total_costs,bln euro,General,Supporting calculations,Costs,0
489,stored_policy,,total_co2_emissions,,TO_SORT_OUT,TO_SORT_OUT,Output series,0
