present,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
11,0,0,0,0,0,0,0,0,0,0,0,0,181.25,362.5,543.75,725,906.25,1087.5,1268.75,1450,1631.25,1812.5,1993.75,2175,2356.25,2537.5,2718.75,2900,3081.25,3262.5,3443.75,3625,3806.25,4096.607143,4386.964286,4677.321429,4967.678571,5258.035714,5548.392857,5838.75,6129.107143,6419.464286,6709.821429,7000.178571,7290.535714,7580.892857,7871.25,8161.607143,8451.964286,8742.321429,9032.678571,9323.035714,9613.392857,9903.75,10194.10714,10484.46429,10774.82143,11065.17857,11355.53571,11645.89286,11936.25,12226.60714,12516.96429,12807.32143,13097.67857,13388.03571,13678.39286,13968.75
12,0,0,0,0,0,0,0,0,0,0,0,0,0,181.25,362.5,543.75,725,906.25,1087.5,1268.75,1450,1631.25,1812.5,1993.75,2175,2356.25,2537.5,2718.75,2900,3081.25,3262.5,3443.75,3625,3917.857143,4210.714286,4503.571429,4796.428571,5089.285714,5382.142857,5675,5967.857143,6260.714286,6553.571429,6846.428571,7139.285714,7432.142857,7725,8017.857143,8310.714286,8603.571429,8896.428571,9189.285714,9482.142857,9775,10067.85714,10360.71429,10653.57143,10946.42857,11239.28571,11532.14286,11825,12117.85714,12410.71429,12703.57143,12996.42857,13289.28571,13582.14286,13875
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.25,362.5,543.75,725,906.25,1087.5,1268.75,1450,1631.25,1812.5,1993.75,2175,2356.25,2537.5,2718.75,2900,3081.25,3262.5,3443.75,3739.107143,4034.464286,4329.821429,4625.178571,4920.535714,5215.892857,5511.25,5806.607143,6101.964286,6397.321429,6692.678571,6988.035714,7283.392857,7578.75,7874.107143,8169.464286,8464.821429,8760.178571,9055.535714,9350.892857,9646.25,9941.607143,10236.96429,10532.32143,10827.67857,11123.03571,11418.39286,11713.75,12009.10714,12304.46429,12599.82143,12895.17857,13190.53571,13485.89286,13781.25
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.25,362.5,543.75,725,906.25,1087.5,1268.75,1450,1631.25,1812.5,1993.75,2175,2356.25,2537.5,2718.75,2900,3081.25,3262.5,3560.357143,3858.214286,4156.071429,4453.928571,4751.785714,5049.642857,5347.5,5645.357143,5943.214286,6241.071429,6538.928571,6836.785714,7134.642857,7432.5,7730.357143,8028.214286,8326.071429,8623.928571,8921.785714,9219.642857,9517.5,9815.357143,10113.21429,10411.07143,10708.92857,11006.78571,11304.64286,11602.5,11900.35714,12198.21429,12496.07143,12793.92857,13091.78571,13389.64286,13687.5
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.25,362.5,543.75,725,906.25,1087.5,1268.75,1450,1631.25,1812.5,1993.75,2175,2356.25,2537.5,2718.75,2900,3081.25,3381.607143,3681.964286,3982.321429,4282.678571,4583.035714,4883.392857,5183.75,5484.107143,5784.464286,6084.821429,6385.178571,6685.535714,6985.892857,7286.25,7586.607143,7886.964286,8187.321429,8487.678571,8788.035714,9088.392857,9388.75,9689.107143,9989.464286,10289.82143,10590.17857,10890.53571,11190.89286,11491.25,11791.60714,12091.96429,12392.32143,12692.67857,12993.03571,13293.39286,13593.75
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.25,362.5,543.75,725,906.25,1087.5,1268.75,1450,1631.25,1812.5,1993.75,2175,2356.25,2537.5,2718.75,2900,3202.857143,3505.714286,3808.571429,4111.428571,4414.285714,4717.142857,5020,5322.857143,5625.714286,5928.571429,6231.428571,6534.285714,6837.142857,7140,7442.857143,7745.714286,8048.571429,8351.428571,8654.285714,8957.142857,9260,9562.857143,9865.714286,10168.57143,10471.42857,10774.28571,11077.14286,11380,11682.85714,11985.71429,12288.57143,12591.42857,12894.28571,13197.14286,13500
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.25,362.5,543.75,725,906.25,1087.5,1268.75,1450,1631.25,1812.5,1993.75,2175,2356.25,2537.5,2718.75,3024.107143,3329.464286,3634.821429,3940.178571,4245.535714,4550.892857,4856.25,5161.607143,5466.964286,5772.321429,6077.678571,6383.035714,6688.392857,6993.75,7299.107143,7604.464286,7909.821429,8215.178571,8520.535714,8825.892857,9131.25,9436.607143,9741.964286,10047.32143,10352.67857,10658.03571,10963.39286,11268.75,11574.10714,11879.46429,12184.82143,12490.17857,12795.53571,13100.89286,13406.25
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.25,362.5,543.75,725,906.25,1087.5,1268.75,1450,1631.25,1812.5,1993.75,2175,2356.25,2537.5,2845.357143,3153.214286,3461.071429,3768.928571,4076.785714,4384.642857,4692.5,5000.357143,5308.214286,5616.071429,5923.928571,6231.785714,6539.642857,6847.5,7155.357143,7463.214286,7771.071429,8078.928571,8386.785714,8694.642857,9002.5,9310.357143,9618.214286,9926.071429,10233.92857,10541.78571,10849.64286,11157.5,11465.35714,11773.21429,12081.07143,12388.92857,12696.78571,13004.64286,13312.5
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.25,362.5,543.75,725,906.25,1087.5,1268.75,1450,1631.25,1812.5,1993.75,2175,2356.25,2666.607143,2976.964286,3287.321429,3597.678571,3908.035714,4218.392857,4528.75,4839.107143,5149.464286,5459.821429,5770.178571,6080.535714,6390.892857,6701.25,7011.607143,7321.964286,7632.321429,7942.678571,8253.035714,8563.392857,8873.75,9184.107143,9494.464286,9804.821429,10115.17857,10425.53571,10735.89286,11046.25,11356.60714,11666.96429,11977.32143,12287.67857,12598.03571,12908.39286,13218.75
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.25,362.5,543.75,725,906.25,1087.5,1268.75,1450,1631.25,1812.5,1993.75,2175,2487.857143,2800.714286,3113.571429,3426.428571,3739.285714,4052.142857,4365,4677.857143,4990.714286,5303.571429,5616.428571,5929.285714,6242.142857,6555,6867.857143,7180.714286,7493.571429,7806.428571,8119.285714,8432.142857,8745,9057.857143,9370.714286,9683.571429,9996.428571,10309.28571,10622.14286,10935,11247.85714,11560.71429,11873.57143,12186.42857,12499.28571,12812.14286,13125
