present,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.8571429,685.7142857,1028.571429,1371.428571,1714.285714,2057.142857,2400,2742.857143,3085.714286,3428.571429,3771.428571,4114.285714,4457.142857,4800,5142.857143,5485.714286,5828.571429,6171.428571,6514.285714,6857.142857,7200,7542.857143,7885.714286,8228.571429,8571.428571,8914.285714
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.8571429,685.7142857,1028.571429,1371.428571,1714.285714,2057.142857,2400,2742.857143,3085.714286,3428.571429,3771.428571,4114.285714,4457.142857,4800,5142.857143,5485.714286,5828.571429,6171.428571,6514.285714,6857.142857,7200,7542.857143,7885.714286,8228.571429,8491.428571
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.8571429,685.7142857,1028.571429,1371.428571,1714.285714,2057.142857,2400,2742.857143,3085.714286,3428.571429,3771.428571,4114.285714,4457.142857,4800,5142.857143,5485.714286,5828.571429,6171.428571,6514.285714,6857.142857,7200,7542.857143,7885.714286,8148.571429
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.8571429,685.7142857,1028.571429,1371.428571,1714.285714,2057.142857,2400,2742.857143,3085.714286,3428.571429,3771.428571,4114.285714,4457.142857,4800,5142.857143,5485.714286,5828.571429,6171.428571,6514.285714,6857.142857,7200,7542.857143,7805.714286
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.8571429,685.7142857,1028.571429,1371.428571,1714.285714,2057.142857,2400,2742.857143,3085.714286,3428.571429,3771.428571,4114.285714,4457.142857,4800,5142.857143,5485.714286,5828.571429,6171.428571,6514.285714,6857.142857,7200,7542.857143
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.8571429,685.7142857,1028.571429,1371.428571,1714.285714,2057.142857,2400,2742.857143,3085.714286,3428.571429,3771.428571,4114.285714,4457.142857,4800,5142.857143,5485.714286,5828.571429,6171.428571,6514.285714,6857.142857,7200
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.8571429,685.7142857,1028.571429,1371.428571,1714.285714,2057.142857,2400,2742.857143,3085.714286,3428.571429,3771.428571,4114.285714,4457.142857,4800,5142.857143,5485.714286,5828.571429,6171.428571,6514.285714,6857.142857
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.8571429,685.7142857,1028.571429,1371.428571,1714.285714,2057.142857,2400,2742.857143,3085.714286,3428.571429,3771.428571,4114.285714,4457.142857,4800,5142.857143,5485.714286,5828.571429,6171.428571,6514.285714
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.8571429,685.7142857,1028.571429,1371.428571,1714.285714,2057.142857,2400,2742.857143,3085.714286,3428.571429,3771.428571,4114.285714,4457.142857,4800,5142.857143,5485.714286,5828.571429,6171.428571
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.8571429,685.7142857,1028.571429,1371.428571,1714.285714,2057.142857,2400,2742.857143,3085.714286,3428.571429,3771.428571,4114.285714,4457.142857,4800,5142.857143,5485.714286,5828.571429
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.8571429,685.7142857,1028.571429,1371.428571,1714.285714,2057.142857,2400,2742.857143,3085.714286,3428.571429,3771.428571,4114.285714,4457.142857,4800,5142.857143,5485.714286
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.8571429,685.7142857,1028.571429,1371.428571,1714.285714,2057.142857,2400,2742.857143,3085.714286,3428.571429,3771.428571,4114.285714,4457.142857,4800,5142.857143
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.8571429,685.7142857,1028.571429,1371.428571,1714.285714,2057.142857,2400,2742.857143,3085.714286,3428.571429,3771.428571,4114.285714,4457.142857,4800
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.8571429,685.7142857,1028.571429,1371.428571,1714.285714,2057.142857,2400,2742.857143,3085.714286,3428.571429,3771.428571,4114.285714,4457.142857
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.8571429,685.7142857,1028.571429,1371.428571,1714.285714,2057.142857,2400,2742.857143,3085.714286,3428.571429,3771.428571,4114.285714
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.8571429,685.7142857,1028.571429,1371.428571,1714.285714,2057.142857,2400,2742.857143,3085.714286,3428.571429,3771.428571
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.8571429,685.7142857,1028.571429,1371.428571,1714.285714,2057.142857,2400,2742.857143,3085.714286,3428.571429
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.8571429,685.7142857,1028.571429,1371.428571,1714.285714,2057.142857,2400,2742.857143,3085.714286
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.8571429,685.7142857,1028.571429,1371.428571,1714.285714,2057.142857,2400,2742.857143
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.8571429,685.7142857,1028.571429,1371.428571,1714.285714,2057.142857,2400
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.8571429,685.7142857,1028.571429,1371.428571,1714.285714,2057.142857
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.8571429,685.7142857,1028.571429,1371.428571,1714.285714
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.8571429,685.7142857,1028.571429,1371.428571
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.8571429,685.7142857,1028.571429
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.8571429,685.7142857
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.8571429
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
