key,demand,max_demand
energy_production_bio_ethanol,1.53140000000000E+04,
energy_production_biodiesel,1.06121000000000E+05,
energy_production_bio_oil,0.00000000000000E+00,
energy_production_biogas,1.99150256746886E+05,
energy_production_biogenic_waste,1.00652000000000E+05,1.10000000000000E+05
energy_production_non_biogenic_waste,1.62160000000000E+05,1.65000000000000E+05
energy_production_wood_pellets,,
energy_production_bio_residues_for_firing,,6.88200000000000E+05
energy_production_manure,,
energy_production_corn,,
energy_production_algae_diesel,0.00000000000000E+00,
energy_production_wood,0.00000000000000E+00,
