key,share
industry_final_demand_for_other_minerals_crude_oil,4.52453182428095E-01
industry_final_demand_for_other_transport_equipment_crude_oil,2.64266217492710E-03
industry_final_demand_for_other_machinery_crude_oil,4.61026008314020E-02
industry_final_demand_for_other_mining_crude_oil,4.99114354409669E-02
industry_final_demand_for_other_food_crude_oil,1.25651821500520E-01
industry_final_demand_for_other_paper_crude_oil,8.14334673490335E-03
industry_final_demand_for_other_wood_products_crude_oil,7.76910406428779E-03
industry_final_demand_for_other_construction_crude_oil,2.99182500089991E-01
industry_final_demand_for_other_textile_crude_oil,0.00000000000000E+00
industry_final_demand_for_other_non_specified_crude_oil,8.14334673490662E-03
