key,share
industry_final_demand_for_other_minerals_network_gas,9.35205102306192E-02
industry_final_demand_for_other_transport_equipment_network_gas,4.99142623084606E-03
industry_final_demand_for_other_machinery_network_gas,4.64594642733898E-02
industry_final_demand_for_other_mining_network_gas,1.46671244482402E-02
industry_final_demand_for_other_food_network_gas,2.32198038765585E-01
industry_final_demand_for_other_paper_network_gas,3.20697623131535E-02
industry_final_demand_for_other_wood_products_network_gas,1.83098829437159E-03
industry_final_demand_for_other_construction_network_gas,9.62454356801221E-03
industry_final_demand_for_other_textile_network_gas,5.00650398503236E-03
industry_final_demand_for_other_non_specified_network_gas,5.59631637890750E-01
