parent_id;child_id;carrier_id;link_type;country_specific;share
1;11;2;1;2;0.0294233641413267
1;442;2;3;0;NULL
2;15;29;3;0;NULL
2;321;29;1;2;0
2;322;29;1;2;0
2;323;29;1;2;0
4;14;10;1;2;0
4;16;10;1;2;0.0196997137965376
4;17;10;1;2;0
4;19;10;3;0;NULL
4;52;10;1;2;0
4;212;10;1;2;0.0439976328995564
4;213;10;1;2;0.00057232693202675
4;215;10;1;2;0.0116146596768179
4;239;10;1;2;2.80690514302351e-05
4;316;10;1;2;0.000402034975439542
4;391;10;1;2;0.0579194855211071
4;417;10;1;2;0
4;440;10;1;2;0
6;552;5;1;0;1
7;552;5;1;0;1
8;552;5;1;0;1
10;553;5;1;0;1
11;534;61;1;0;1
12;258;7;1;0;1
12;550;5;1;0;1
13;550;5;1;0;1
14;258;7;1;0;1
14;548;5;1;0;1
15;258;8;1;0;1
15;549;5;1;0;1
16;548;5;1;0;1
17;533;61;1;0;1
19;541;66;1;0;1
20;257;6;1;;1
21;301;5;3;;NULL
21;394;5;5;;NULL
21;420;5;5;;NULL
21;421;5;5;;NULL
22;63;4;1;;1
23;103;24;1;;1
23;109;3;1;;1
23;287;40;1;;1
24;177;5;1;;1
25;181;10;1;;0.250943873851389
25;273;10;1;;0.0433532075091026
25;274;10;1;;0.274510802891877
25;275;10;1;;0.0289794167841595
25;276;10;1;;0.402212698963472
26;202;5;5;;NULL
26;301;5;5;;NULL
26;302;5;3;;NULL
26;410;5;5;;NULL
26;412;5;5;;NULL
27;287;40;1;;1
28;103;24;1;;1
28;109;3;1;;1
28;287;40;1;;1
29;492;55;1;;1
32;34;31;1;;0
32;35;31;1;;1
32;36;31;1;;0
32;41;31;1;;0
33;37;30;1;;0
33;38;30;1;;0.472034978412087
33;39;30;1;;0.475600983413865
33;40;30;1;;0.0522726077590704
33;42;30;1;;9.14304149774143e-05
34;576;5;1;;1
35;586;16;1;;1
36;585;15;1;;1
37;576;5;1;;1
38;586;16;1;;1
39;585;15;1;;1
40;570;17;1;;1
41;587;38;1;;1
42;587;38;1;;1
44;211;3;1;;1
46;581;16;1;;1
47;589;18;1;;1
48;580;5;1;;1
49;374;29;1;;0
49;381;29;3;;NULL
50;379;10;1;;1
51;341;5;1;;1
52;250;7;1;0;1
52;548;5;1;0;1
55;251;8;1;;1
55;341;5;1;;1
56;165;10;1;;0.261469790689715
56;262;10;1;;0
56;263;10;1;;0.0816656884531333
56;264;10;1;;0.656864520857151
56;279;10;1;;0
56;280;10;1;;0
57;163;66;1;;1
58;162;5;1;;1
61;577;14;1;;1
62;595;5;1;0;1
63;23;4;2;;NULL
63;28;4;2;;NULL
63;64;4;2;;NULL
63;66;4;2;;NULL
63;67;4;2;;NULL
63;68;4;2;;NULL
63;69;4;2;;NULL
63;70;4;2;;NULL
63;71;4;2;;NULL
63;72;4;2;;NULL
63;73;4;2;;NULL
63;74;4;2;;NULL
63;75;4;2;;NULL
63;79;4;2;;NULL
63;83;4;2;;NULL
63;86;4;4;;0
63;392;4;2;;NULL
63;409;4;2;;NULL
63;414;4;3;;NULL
63;423;4;2;;NULL
63;424;4;2;;NULL
63;430;4;4;;0
63;431;4;4;;0
63;432;4;4;;0
63;433;4;4;;0
63;434;4;4;;0
63;435;4;4;;0
63;436;4;2;;NULL
63;489;4;4;;NULL
64;284;21;1;;1
65;20;5;4;;0
65;23;5;4;;1841013973.83676
65;28;5;4;;14378110696.6601
65;64;5;4;;0
65;66;5;4;;10014256800
65;67;5;4;;0
65;68;5;4;;0
65;69;5;4;;0
65;70;5;4;;0
65;71;5;4;;0
65;72;5;4;;0
65;73;5;4;;0
65;74;5;4;;6366329670.32967
65;75;5;4;;0
65;78;5;3;;NULL
65;79;5;4;;15007770000
65;80;5;4;;1058184000
65;81;5;4;;432216000
65;82;5;4;;0
65;83;5;4;;0
65;85;5;4;;0
65;87;5;4;;0
65;88;5;4;;0
65;90;5;4;;0
65;260;5;4;;250497598.390972
65;303;5;5;;NULL
65;392;5;4;;0
65;409;5;4;;0
65;423;5;4;;0
65;424;5;4;;0
65;436;5;4;;0
65;556;5;4;;0
65;557;5;4;;0
66;113;14;1;;1
66;486;53;1;;1
66;492;55;1;;1
67;113;14;1;;1
67;486;53;1;;1
68;113;14;1;;1
68;486;53;1;;1
69;283;35;1;;1
69;486;53;1;;1
70;283;35;1;;1
70;486;53;1;;1
71;113;14;1;;1
71;486;53;1;;1
72;113;14;1;;1
72;486;53;1;;1
73;109;3;1;;1
74;103;24;1;;1
74;109;3;1;;1
74;287;40;1;;1
75;113;14;1;;1
75;486;53;1;;1
76;555;4;1;0;1
78;249;37;1;;1
79;137;22;1;;1
80;258;23;1;;1
81;258;23;1;;1
82;258;23;1;;1
83;492;55;1;;1
85;257;6;1;;1
86;258;7;1;;1
87;251;25;1;;1
88;251;25;1;;1
90;258;7;1;;1
91;92;9;1;;1
91;112;13;1;;1
92;102;9;4;;
92;105;9;1;;0
92;139;9;3;;NULL
93;127;16;1;;1
93;142;16;3;;NULL
94;128;15;1;;1
94;143;15;3;;NULL
95;129;20;1;;1
95;144;20;3;;NULL
96;130;18;4;;NULL
96;145;18;3;;NULL
97;131;19;4;;NULL
97;146;19;3;;NULL
99;126;17;1;;1
99;148;17;3;;NULL
103;100;24;4;;NULL
103;246;24;3;;NULL
109;104;3;4;;
109;138;3;3;;NULL
111;101;62;1;;1
111;140;62;3;;NULL
112;242;13;3;;NULL
112;497;13;4;;0
113;106;14;4;;NULL
113;243;14;3;;NULL
114;185;14;1;;1
115;188;3;1;;1
116;180;3;1;;1
117;178;66;1;;1
119;201;14;1;;1
120;175;55;1;;1
123;187;66;1;;1
125;588;16;1;;1
126;109;3;1;;1
127;109;3;1;;1
128;109;3;1;;1
129;109;3;1;;1
136;107;22;3;;NULL
136;240;22;4;;NULL
137;136;22;1;;1
145;236;18;1;;1
146;235;19;1;;1
149;583;15;1;;1
151;210;3;1;;1
152;205;3;1;;1
