key,demand,max_demand
energy_production_bio_ethanol,5.13808000000000E+03,
energy_production_biodiesel,2.32320100000000E+04,
energy_production_bio_oil,0.00000000000000E+00,
energy_production_biogas,6.29687679888311E+03,
energy_production_biogenic_waste,1.35975000000000E+03,5.00000000000000E+04
energy_production_non_biogenic_waste,2.53811400000000E+04,5.00000000000000E+04
energy_production_wood_pellets,,
energy_production_bio_residues_for_firing,,2.68504331553732E+05
energy_production_manure,,
energy_production_corn,,
energy_production_wood,0.00000000000000E+00,
