key,value,unit
flh_of_energy_power_wind_turbine_coastal,1765,hours
flh_of_energy_power_wind_turbine_offshore,2905,hours
flh_of_energy_power_wind_turbine_inland,1765,hours
flh_of_energy_power_solar_pv_solar_radiation,853,hours
flh_of_energy_power_solar_pv_offshore,959,hours
flh_of_energy_heat_solar_thermal,510,hours
average_difference_in_air_temperature,-2.026849315,degC
