year,preset_demand
212961510/3724649,
2010,0.0
213067461/3724649,
2011,0.0
213173412/3724649,
2012,0.0
213279363/3724649,
2013,0.0
213385314/3724649,
2014,0.0
213491265/3724649,
2015,0.0
213597216/3724649,
2016,0.0
213703167/3724649,
2017,0.0
213809118/3724649,
2018,0.0
213915069/3724649,
2019,0.0
214021020/3724649,
2020,0.0
214126971/3724649,
2021,0.0
214232922/3724649,
2022,0.0
12608169/219097,
2023,0.0
214444824/3724649,
2024,0.0
214550775/3724649,
2025,0.0
214656726/3724649,
2026,0.0
214762677/3724649,
2027,0.0
214868628/3724649,
2028,0.0
214974579/3724649,
2029,0.0
215080530/3724649,
2030,0.0
215186481/3724649,
2031,0.0
215292432/3724649,
2032,0.0
215398383/3724649,
2033,0.0
215504334/3724649,
2034,0.0
215610285/3724649,
2035,0.0
215716236/3724649,
2036,0.0
215822187/3724649,
2037,0.0
215928138/3724649,
2038,0.0
216034089/3724649,
2039,0.0
12714120/219097,
2040,0.0
216245991/3724649,
2041,0.0
216351942/3724649,
2042,0.0
216457893/3724649,
2043,0.0
216563844/3724649,
2044,0.0
216669795/3724649,
2045,0.0
216775746/3724649,
2046,0.0
216881697/3724649,
2047,0.0
216987648/3724649,
2048,0.0
217093599/3724649,
2049,0.0
217199550/3724649,
2050,0.0
