PRODUCT,Hard coal (if no detail),Brown coal (if no detail),Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,BKB/peat briquettes,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat,Natural Gas,Crude/NGL/feedstocks (if no detail),Crude oil,Natural gas liquids,Refinery feedstocks,Additives/blending components,Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases (LPG),Motor gasoline,Aviation gasoline,Gasoline type jet fuel,Kerosene type jet fuel,Other Kerosene,Gas/diesel oil,Fuel oil,Naphtha,White spirit & SBP,Lubricants,Bitumen,Paraffin waxes,Petroleum coke,Non-specified oil products,Industrial waste,Municipal waste (renewable),Municipal waste (non-renewable),Primary solid biofuels,Biogases,Biogasoline,Biodiesels,Other liquid biofuels,Non-specified primary biofuels and waste,Charcoal,Elec/heat output from non-specified manufactured gases,Heat output from non-specified combustible fuels,Nuclear,Hydro,Geothermal,Solar photovoltaics,Solar thermal,"Tide, wave and ocean",Wind,Other sources,Electricity,Heat,Total,Memo: Renewables
Production,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2655008.48,x,43553.98,17335.99,0,9596.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34201.42,30329.18,43253.71,12283.65,c,14134.01,1068.01,0,0,0,0,43305.96,378.07,317.95,216.04,1000.81,0,14377.39,554.5,0,0,2920915.37,121231.05
Imports,x,x,1084.09,130997.81,393063.23,0,580,0,6925.51,0,4692.82,0,0,0,0,0,0,772374.75,x,2192260.69,392392,0,75337.87,0,0,0,95910,412764.01,264.02,0,163314.01,30314.99,803137.81,1203199.99,692691.99,21887.21,42798.01,14586.02,9839.98,0,80080,0,0,0,23148.57,0,5427.01,0,0,0,1200.02,0,0,0,0,0,0,0,0,0,0,56108.9,0,7626381.3,29775.6
Exports,x,x,-908.28,0,-144848.04,0,-80.01,0,-4217.99,0,-502.79,0,0,0,0,0,0,-1785756.57,x,-21648.9,-307.98,0,-79784.29,0,0,0,-47794,-728199.99,-2639.99,0,-286638,-16211,-1326691.79,-1082439.99,-551320,-13821.21,-71694.01,-13260.01,-4960.02,0,-69320.01,0,0,0,-8763.31,0,c,-12542.98,0,0,-1110,0,0,0,0,0,0,0,0,0,0,-46113.5,0,-6321574.67,-22416.29
International marine bunkers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,-65476.19,-506480,0,0,-3486.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-575442.21,0
International aviation bunkers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,-141341.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-141341.01,0
Stock changes,x,x,1142.7,-17661.35,-52726.17,0,99.98,0,569.99,0,-41.91,0,0,0,0,0,0,-601.94,x,10546.88,-9548,0,2085.03,0,0,0,-1794,10648,439.99,0,-2536.99,4386.01,-809.39,26280,11968.01,43.58,-504.01,312,-439.99,0,-480.02,0,0,0,0,0,188.99,2368.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16064.58,2557
Total primary energy supply,x,x,1318.51,113336.47,195489.02,0,600.01,0,3277.51,0,4148.11,0,0,0,0,0,0,1641024.76,x,2224712.7,399872.02,0,7234.83,0,0,0,46322,-304787.99,-1936.02,0,-267201.99,18490,-589839.61,-359440,153340,8109.58,-32886.02,1638,4440.02,0,10280.02,0,34201.42,30329.18,57638.92,12283.65,5616.01,3959,1068.01,0,90.02,0,0,43305.96,378.07,317.95,216.04,1000.81,0,14377.39,554.5,9995.4,0,3492874.24,131147.28
Transfers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,-14563.99,-66506.23,-5124.69,0,0,0,11131.99,155056,0,0,-1032,-23520.98,5495.38,-26040.01,-26311.99,4883.19,1721.99,0,759.99,0,-5879.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10068.67,0
Statistical differences,x,x,0,0,-9.25,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-10931.19,1672,0,0,0,14354.99,0,-29715.98,0,44,0,0,515.98,979.79,2720,-30887.99,6714.41,587.99,-156,80.01,0,1960.01,0,0,0,0,0,0,0,35.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-42035.64,35.59
Transformation processes,x,x,0,-113250.47,-195479.77,0,0,0,769.49,0,4189.98,0,0,14699.1,12255.64,0,0,-555453.84,x,-2213781.51,-197691.99,66506.23,-2110.15,0,71527.5,0,50094.02,324192,2023.98,0,270212.01,8901.01,903034.81,391799.99,205083.99,-7673.61,37211.99,7136.99,10600.01,0,32640,0,-34201.42,-30329.18,-41140.08,-7942.49,0,0,-498.4,0,179.99,0,0,-43305.96,-378.07,0,-216.04,0,0,-14377.39,-554.5,425380.55,130437.91,-489507.64,-98573.89
