key,demand,full_load_hours,electricity_output_conversion,steam_hot_water_output_conversion
energy_heat_burner_wood_pellets,4.14232304299890E+03,2.19000000000000E+03,,9.07000000000000E-01
energy_heat_burner_coal,0.00000000000000E+00,2.19000000000000E+03,,7.20000000000000E-01
energy_heat_burner_hydrogen,0.00000000000000E+00,2.19000000000000E+03,,1.09593000000000E+00
energy_heat_burner_crude_oil,0.00000000000000E+00,2.19000000000000E+03,,9.40000000000000E-01
energy_heat_burner_network_gas,0.00000000000000E+00,2.19000000000000E+03,,8.99000000000000E-01
energy_heat_solar_thermal,0.00000000000000E+00,6.00000000000000E+02,,
energy_heat_burner_waste_mix,8.03652032520325E+02,2.19000000000000E+03,,6.15000000000000E-01
energy_heat_heatpump_water_water_electricity,0.00000000000000E+00,6.50000000000000E+03,,1.00000000000000E+00
energy_chp_local_engine_network_gas,1.72819862200493E+04,8.50000000000000E+03,3.70000000000000E-01,4.80000000000000E-01
energy_chp_local_engine_biogas,3.15719516129032E+03,8.50000000000000E+03,4.40000000000000E-01,3.10000000000000E-01
energy_chp_local_wood_pellets,1.28506883422272E+04,8.50000000000000E+03,1.41000000000000E-01,3.00000000000000E-01
energy_chp_combined_cycle_network_gas,0.00000000000000E+00,2.74000000000000E+03,4.20000000000000E-01,3.30000000000000E-01
energy_chp_ultra_supercritical_cofiring_coal,5.19295190400000E+04,4.50000000000000E+03,4.20000000000000E-01,1.00000000000000E-01
energy_chp_ultra_supercritical_coal,4.50304318636364E+03,4.50000000000000E+03,4.40000000000000E-01,5.00000000000000E-02
energy_chp_ultra_supercritical_lignite,0.00000000000000E+00,4.50000000000000E+03,3.50000000000000E-01,1.50000000000000E-01
energy_chp_supercritical_waste_mix,6.71331905464697E+04,4.16000000000000E+03,2.03100000000000E-01,2.30000000000000E-01
energy_hydrogen_wind_turbine_offshore,0.00000000000000E+00,4.00000000000000E+03,,
energy_hydrogen_electrolysis_wind_electricity,0.00000000000000E+00,4.00000000000000E+03,,
energy_hydrogen_solar_pv_solar_radiation,0.00000000000000E+00,9.50000000000000E+02,,
energy_hydrogen_electrolysis_solar_electricity,0.00000000000000E+00,1.86745540600000E+03,,
energy_hydrogen_steam_methane_reformer,0.00000000000000E+00,7.50000000000000E+03,,
energy_hydrogen_steam_methane_reformer_ccs,0.00000000000000E+00,7.50000000000000E+03,,
energy_hydrogen_biomass_gasification,0.00000000000000E+00,7.88400000000000E+03,,
energy_hydrogen_biomass_gasification_ccs,0.00000000000000E+00,7.88400000000000E+03,,
energy_power_supercritical_coal,3.70451025000727E+00,4.00000000000000E+03,3.60000000000000E-01,
energy_power_ultra_supercritical_coal,2.93255812485000E+04,1.93900000000000E+03,4.60000000000000E-01,
energy_power_ultra_supercritical_ccs_coal,0.00000000000000E+00,7.50000000000000E+03,3.61000000000000E-01,
energy_power_ultra_supercritical_cofiring_coal,2.39188195796545E+04,1.93900000000000E+03,4.16800000000000E-01,
energy_power_combined_cycle_coal,0.00000000000000E+00,7.50000000000000E+03,4.53000000000000E-01,
energy_power_combined_cycle_ccs_coal,0.00000000000000E+00,4.00000000000000E+03,3.73000000000000E-01,
energy_power_combined_cycle_coal_gas,1.56979810000000E+04,2.06500000000000E+03,3.95610620152999E-01,
energy_power_ultra_supercritical_lignite,0.00000000000000E+00,7.50000000000000E+03,4.00000000000000E-01,
energy_power_ultra_supercritical_oxyfuel_ccs_lignite,0.00000000000000E+00,7.50000000000000E+03,3.05000000000000E-01,
energy_power_turbine_network_gas,0.00000000000000E+00,7.50000000000000E+02,3.40000000000000E-01,
energy_power_combined_cycle_network_gas,1.37447266640394E+05,2.74300000000000E+03,5.49100000000000E-01,
energy_power_combined_cycle_ccs_network_gas,0.00000000000000E+00,1.50000000000000E+03,4.90000000000000E-01,
energy_power_ultra_supercritical_network_gas,2.80851766639364E+03,7.55000000000000E+02,4.50000000000000E-01,
energy_power_ultra_supercritical_crude_oil,2.46768888880000E+02,1.00000000000000E+03,4.50000000000000E-01,
energy_power_engine_diesel,3.02105263263158E+00,1.00000000000000E+03,3.80000000000000E-01,
energy_power_engine_network_gas,1.35597520572758E+02,1.55000000000000E+03,4.30000000000000E-01,
energy_power_supercritical_waste_mix,0.00000000000000E+00,4.10000000000000E+03,2.50000000000000E-01,
energy_power_nuclear_gen2_uranium_oxide,3.89548058691284E+04,7.79000000000000E+03,3.68300000000000E-01,
energy_power_nuclear_gen3_uranium_oxide,0.00000000000000E+00,8.00000000000000E+03,3.68300000000000E-01,
energy_power_hydro_river,2.54824489800000E+02,1.84000000000000E+03,,
energy_power_hydro_mountain,0.00000000000000E+00,4.02400000000000E+03,,
energy_power_geothermal,0.00000000000000E+00,8.00000000000000E+03,,
energy_power_solar_pv_solar_radiation,8.50862764800000E+04,9.50000000000000E+02,,
energy_power_solar_csp_solar_radiation,0.00000000000000E+00,9.00000000000000E+02,,
energy_power_turbine_hydrogen,0.00000000000000E+00,2.00000000000000E+03,,
energy_power_wind_turbine_coastal,0.00000000000000E+00,2.64400000000000E+03,,
energy_power_wind_turbine_offshore,4.34658637437188E+04,3.39700000000000E+03,,
energy_power_wind_turbine_inland,6.61117568929822E+04,2.75600000000000E+03,,
buildings_solar_pv_solar_radiation,1.50250216999617E+05,9.00000000000000E+02,,
households_solar_pv_solar_radiation,1.79260430059206E+05,9.00000000000000E+02,,
