key,share
industry_final_demand_for_other_minerals_crude_oil,1.66413728554542E-01
industry_final_demand_for_other_transport_equipment_crude_oil,2.28519208794843E-02
industry_final_demand_for_other_machinery_crude_oil,5.84635560005941E-02
industry_final_demand_for_other_mining_crude_oil,1.20862755315666E-01
industry_final_demand_for_other_food_crude_oil,2.54184295018938E-01
industry_final_demand_for_other_paper_crude_oil,8.56832862309208E-02
industry_final_demand_for_other_wood_products_crude_oil,3.41387132797076E-02
industry_final_demand_for_other_construction_crude_oil,1.45926462550337E-01
industry_final_demand_for_other_textile_crude_oil,1.43720444818550E-02
industry_final_demand_for_other_non_specified_crude_oil,9.71032376879555E-02
