converter_id;carrier_id;input_country_specific;output_country_specific;input;output
1;2;0;0;1;1
2;29;0;0;1;1
4;10;0;0;1;1
6;5;0;;1;
6;1;;1;;0.5
6;32;;1;;0.5
7;5;0;;1;
7;1;;1;;0.75
7;32;;1;;0.25
8;5;0;;1;
8;1;;1;;0.95
8;32;;1;;0.05
10;5;0;;1;
10;41;;0;;1
10;1;;0;;0
11;61;0;;1;
11;1;;1;;0
11;2;;1;;1
12;5;1;;0.210526315789474;
12;7;1;;0.789473684210526;
12;1;;1;;0
12;2;;1;;1
13;5;0;;1;
13;1;;1;;0.05
13;2;;1;;0.95
14;5;1;;0.111111111111111;
14;7;1;;0.888888888888889;
14;1;;1;;0
14;10;;1;;1
14;29;;1;;0
15;5;1;;0.25;
15;8;1;;0.75;
15;1;;1;;0
15;29;;1;;1
16;5;0;;1;
16;1;;1;;0
16;10;;1;;1
17;61;0;;1;
17;1;;1;;0
17;10;;1;;1
19;66;0;;1;
19;1;;1;;-0.0669999999999999
19;10;;1;;1.067
20;6;0;;1;
20;1;;1;;0.84
20;5;;1;;0.16
21;5;1;1;1;1
22;4;1;1;1;1
22;1;;1;;0
23;40;2;;1;
23;3;2;;0;
23;24;2;;0;
23;1;;2;;0.6
23;4;;2;;0
23;5;;2;;0.4
24;5;;;1;1
25;10;;;1;1
26;5;;;1;1
27;40;;;1;
27;1;;;;0.2752
27;4;;;;0.4729
27;5;;;;0.2519
28;40;;;1;
28;3;;;0;
28;24;;;0;
28;1;;;;0.23
28;4;;;;0.45
28;5;;;;0.32
29;11;;;1;
29;1;;;;0.142
29;4;;;;0.432
29;5;;;;0.426
32;31;;;1;
32;1;;;;1
33;30;;;1;
33;1;;;;1
34;5;;;1;
34;31;;;;1.18203309692671
35;16;;;1;
35;31;;;;0.409500409500409
36;15;;;1;
36;31;;;;0.349167091001673
37;5;;;1;
37;30;;;;1.18203309692671
38;16;;;1;
38;30;;;;0.409500409500409
39;15;;;1;
39;30;;;;0.349167091001673
40;17;;;1;
40;30;;;;0.448979591836735
41;38;;;1;
41;31;;;;0.4
42;38;;;1;
42;30;;;;0.4
44;3;;;1;1
46;16;;;1;
46;41;;;;1
47;18;;;1;
47;41;;;;1
48;5;;;1;
48;1;;;;0.1
48;41;;;;0.9
49;29;;;1;1
50;10;;;1;1
51;5;;;1;1
52;5;;;0.210526315789474;
52;7;;;0.789473684210526;
52;1;;;;0
52;10;;;;1
55;5;;;0.1;
55;8;;;0.9;
55;29;;;;1
56;10;;;1;1
57;66;;;1;1
58;5;;;1;1
61;14;;;1;
61;1;;;;0.7
61;41;;;;0.3
62;5;;;1;1
63;4;;;1;0.976154909700632
63;1;;;;0.0238450902993684
64;21;;;1;
64;1;;;;0.75
64;4;;;;0
64;5;;;;0.25
65;5;;;1;0.965759917793846
65;1;;;;0.0342400822061541
66;11;;;0;
66;53;;;0;
66;14;;;1;
66;1;;;;0.54
66;4;;;;0
66;5;;;;0.46
67;11;;;0;
67;53;;;0;
67;14;;;1;
67;1;;;;0.639
67;4;;;;0
67;5;;;;0.361
68;11;;;0;
68;53;;;0;
68;14;;;1;
68;1;;;;0.64
68;4;;;;0
68;5;;;;0.36
69;11;;;0;
69;53;;;0;
69;35;;;1;
69;1;;;;0.6
69;4;;;;0
69;5;;;;0.4
70;11;;;0;
70;53;;;0;
70;35;;;1;
70;1;;;;0.695
70;4;;;;0
70;5;;;;0.305
71;11;;;0;
71;53;;;0;
71;14;;;1;
71;1;;;;0.547
71;4;;;;0
71;5;;;;0.453
72;11;;;0;
72;53;;;0;
72;14;;;1;
72;1;;;;0.627
72;4;;;;0
72;5;;;;0.373
73;3;;;1;
73;1;;;;0.55
