key,demand,max_demand
energy_production_bio_ethanol,0.00000000000000E+00,
energy_production_biodiesel,0.00000000000000E+00,
energy_production_bio_oil,6.36000000000000E+02,
energy_production_biogas,6.71933701946626E+03,
energy_production_biogenic_waste,1.89440100000000E+04,1.95500000000000E+04
energy_production_non_biogenic_waste,1.54999900000000E+04,1.59950000000000E+04
energy_production_wood_pellets,,
energy_production_woody_biomass,,6.59430000000000E+04
energy_production_manure,,
energy_production_corn,,
energy_production_wood,6.59430000000000E+04,
