year,preset_demand
2010,27632.788161883742
2011,25153.90035693369
2012,25036.677322928786
2013,26907.674137457692
2014,23999.999362012943
2015,23452.94261562716
2016,22806.727545817695
2017,22358.738194612204
2018,22318.760969290095
2019,22035.909132888693
2020,21742.959082553753
2021,21265.730343618623
2022,19327.90804297529
2023,17025.865422083672
2024,15323.533490616006
2025,13834.800779448258
2026,12451.903916789672
2027,11239.555999360462
2028,10224.365320536883
2029,9245.765906783232
2030,8438.44131335329
2031,7753.789746506533
2032,7184.745600944254
2033,6697.076441948083
2034,6162.80809549726
2035,5672.9468263948065
2036,5117.443617616163
2037,4624.130686048056
2038,4130.817754479939
2039,3637.504822911822
2040,3144.1918913437053
2041,2650.878959775588
2042,2157.5660282074714
2043,1664.2530966393647
2044,1170.9401650712477
2045,677.6272335031285
2046,184.31430193501257
2047,0.0
2048,0.0
2049,0.0
2050,0.0
