key,share
industry_final_demand_for_other_minerals_steam_hot_water,7.06159870607832E-03
industry_final_demand_for_other_transport_equipment_steam_hot_water,1.84682738615019E-01
industry_final_demand_for_other_machinery_steam_hot_water,1.52568658271851E-01
industry_final_demand_for_other_mining_steam_hot_water,6.50306467668396E-04
industry_final_demand_for_other_food_steam_hot_water,6.55525879885677E-02
industry_final_demand_for_other_paper_steam_hot_water,2.06552807661581E-01
industry_final_demand_for_other_wood_products_steam_hot_water,4.85952485807509E-02
industry_final_demand_for_other_construction_steam_hot_water,0.00000000000000E+00
industry_final_demand_for_other_textile_steam_hot_water,2.92800545151517E-02
industry_final_demand_for_other_non_specified_steam_hot_water,3.05055999193332E-01
