key,share
industry_final_demand_for_other_minerals_network_gas,1.62673692875441E-01
industry_final_demand_for_other_transport_equipment_network_gas,6.60743325375189E-02
industry_final_demand_for_other_machinery_network_gas,1.13033349181099E-01
industry_final_demand_for_other_mining_network_gas,6.46833587188649E-03
industry_final_demand_for_other_food_network_gas,1.80221714078032E-01
industry_final_demand_for_other_paper_network_gas,1.37718890938736E-01
industry_final_demand_for_other_wood_products_network_gas,6.61754438219848E-03
industry_final_demand_for_other_construction_network_gas,7.52477966364860E-03
industry_final_demand_for_other_textile_network_gas,2.97674687000840E-02
industry_final_demand_for_other_non_specified_network_gas,2.89899891771356E-01
