type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
apartments,0,134.3283582,268.6567164,402.9850746,537.3134328,671.641791,805.9701493,940.2985075,1074.626866,1208.955224,1343.283582,1477.61194,1611.940299,1746.268657,1880.597015,2014.925373,2149.253731,2283.58209,2417.910448,2552.238806,2686.567164,2820.895522,2955.223881,3089.552239,3223.880597,3358.208955,3492.537313,3626.865672,3761.19403,3895.522388,4029.850746,4164.179104,4298.507463,4432.835821,4567.164179,4701.492537,4835.820896,4970.149254,5104.477612,5238.80597,5373.134328,5507.462687,5641.791045,5776.119403,5910.447761,6044.776119,6179.104478,6313.432836,6447.761194,6582.089552,6716.41791,6850.746269,6985.074627,7119.402985,7253.731343,7388.059701,7522.38806,7656.716418,7791.044776,7925.373134,8059.701493,8194.029851,8328.358209,8462.686567,8597.014925,8731.343284,8865.671642,9000,0,0,0,,,,
terraced_houses,0,173.9130435,347.826087,521.7391304,695.6521739,869.5652174,1043.478261,1217.391304,1391.304348,1565.217391,1739.130435,1913.043478,2086.956522,2260.869565,2434.782609,2608.695652,2782.608696,2956.521739,3130.434783,3304.347826,3478.26087,3652.173913,3826.086957,4000,4173.913043,4347.826087,4521.73913,4695.652174,4869.565217,5043.478261,5217.391304,5391.304348,5565.217391,5739.130435,5913.043478,6086.956522,6260.869565,6434.782609,6608.695652,6782.608696,6956.521739,7130.434783,7304.347826,7478.26087,7652.173913,7826.086957,8000,8173.913043,8347.826087,8521.73913,8695.652174,8869.565217,9043.478261,9217.391304,9391.304348,9565.217391,9739.130435,9913.043478,10086.95652,10260.86957,10434.78261,10608.69565,10782.6087,10956.52174,11130.43478,11304.34783,11478.26087,11652.17391,11826.08696,12000,0,,,,
corner_houses,0,260.8695652,521.7391304,782.6086957,1043.478261,1304.347826,1565.217391,1826.086957,2086.956522,2347.826087,2608.695652,2869.565217,3130.434783,3391.304348,3652.173913,3913.043478,4173.913043,4434.782609,4695.652174,4956.521739,5217.391304,5478.26087,5739.130435,6000,6260.869565,6521.73913,6782.608696,7043.478261,7304.347826,7565.217391,7826.086957,8086.956522,8347.826087,8608.695652,8869.565217,9130.434783,9391.304348,9652.173913,9913.043478,10173.91304,10434.78261,10695.65217,10956.52174,11217.3913,11478.26087,11739.13043,12000,12260.86957,12521.73913,12782.6087,13043.47826,13304.34783,13565.21739,13826.08696,14086.95652,14347.82609,14608.69565,14869.56522,15130.43478,15391.30435,15652.17391,15913.04348,16173.91304,16434.78261,16695.65217,16956.52174,17217.3913,17478.26087,17739.13043,18000,0,,,,
semi_detached_houses,0,275.3623188,550.7246377,826.0869565,1101.449275,1376.811594,1652.173913,1927.536232,2202.898551,2478.26087,2753.623188,3028.985507,3304.347826,3579.710145,3855.072464,4130.434783,4405.797101,4681.15942,4956.521739,5231.884058,5507.246377,5782.608696,6057.971014,6333.333333,6608.695652,6884.057971,7159.42029,7434.782609,7710.144928,7985.507246,8260.869565,8536.231884,8811.594203,9086.956522,9362.318841,9637.681159,9913.043478,10188.4058,10463.76812,10739.13043,11014.49275,11289.85507,11565.21739,11840.57971,12115.94203,12391.30435,12666.66667,12942.02899,13217.3913,13492.75362,13768.11594,14043.47826,14318.84058,14594.2029,14869.56522,15144.92754,15420.28986,15695.65217,15971.01449,16246.37681,16521.73913,16797.10145,17072.46377,17347.82609,17623.18841,17898.55072,18173.91304,18449.27536,18724.63768,19000,0,,,,
detached_houses,0,388.0597015,776.119403,1164.179104,1552.238806,1940.298507,2328.358209,2716.41791,3104.477612,3492.537313,3880.597015,4268.656716,4656.716418,5044.776119,5432.835821,5820.895522,6208.955224,6597.014925,6985.074627,7373.134328,7761.19403,8149.253731,8537.313433,8925.373134,9313.432836,9701.492537,10089.55224,10477.61194,10865.67164,11253.73134,11641.79104,12029.85075,12417.91045,12805.97015,13194.02985,13582.08955,13970.14925,14358.20896,14746.26866,15134.32836,15522.38806,15910.44776,16298.50746,16686.56716,17074.62687,17462.68657,17850.74627,18238.80597,18626.86567,19014.92537,19402.98507,19791.04478,20179.10448,20567.16418,20955.22388,21343.28358,21731.34328,22119.40299,22507.46269,22895.52239,23283.58209,23671.64179,24059.70149,24447.76119,24835.8209,25223.8806,25611.9403,26000,0,0,0,,,,
buildings,0,478.5462335,957.092467,1435.638701,1914.184934,2392.731168,2871.277401,3349.823635,3828.369868,4306.916102,4785.462335,5264.008569,5742.554802,6221.101036,6699.647269,7178.193503,7656.739736,8135.28597,8613.832203,9092.378437,9570.92467,10049.4709,10528.01714,11006.56337,11485.1096,11963.65584,12442.20207,12920.74831,13399.29454,13877.84077,14356.38701,14834.93324,15313.47947,15792.02571,16270.57194,16749.11817,17227.66441,17706.21064,18184.75687,18663.30311,19141.84934,19620.39557,20098.94181,20577.48804,21056.03427,21534.58051,22013.12674,22491.67298,22970.21921,23448.76544,23927.31168,24405.85791,24884.40414,25362.95038,25841.49661,26320.04284,26798.58908,27277.13531,27755.68154,28234.22778,28712.77401,29191.32024,29669.86648,30148.41271,30626.95895,31105.50518,31584.05141,32062.59765,32541.14388,33019.69011,33169.02745,33318.36478,33467.70212,33617.03945,33766.37678
