present,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
0,0,617.3913043,1234.782609,1852.173913,2469.565217,3086.956522,3704.347826,4321.73913,4939.130435,5556.521739,6173.913043,6791.304348,7408.695652,8026.086957,8643.478261,9260.869565,9878.26087,10495.65217,11113.04348,11730.43478,12347.82609,12965.21739,13582.6087,14200,14877.27273,15554.54545,16231.81818,16909.09091,17586.36364,18263.63636,18940.90909,19618.18182,20295.45455,20972.72727,21650,22327.27273,23004.54545,23681.81818,24359.09091,25036.36364,25713.63636,26390.90909,27068.18182,27745.45455,28422.72727,29100,29777.27273,30454.54545,31131.81818,31809.09091,32486.36364,33163.63636,33840.90909,34518.18182,35195.45455,35872.72727,36550,37227.27273,37904.54545,38581.81818,39259.09091,39936.36364,40613.63636,41290.90909,41968.18182,42645.45455,43322.72727,44000
1,0,0,617.3913043,1234.782609,1852.173913,2469.565217,3086.956522,3704.347826,4321.73913,4939.130435,5556.521739,6173.913043,6791.304348,7408.695652,8026.086957,8643.478261,9260.869565,9878.26087,10495.65217,11113.04348,11730.43478,12347.82609,12965.21739,13582.6087,14265.21739,14947.82609,15630.43478,16313.04348,16995.65217,17678.26087,18360.86957,19043.47826,19726.08696,20408.69565,21091.30435,21773.91304,22456.52174,23139.13043,23821.73913,24504.34783,25186.95652,25869.56522,26552.17391,27234.78261,27917.3913,28600,29282.6087,29965.21739,30647.82609,31330.43478,32013.04348,32695.65217,33378.26087,34060.86957,34743.47826,35426.08696,36108.69565,36791.30435,37473.91304,38156.52174,38839.13043,39521.73913,40204.34783,40886.95652,41569.56522,42252.17391,42934.78261,43617.3913
2,0,0,0,617.3913043,1234.782609,1852.173913,2469.565217,3086.956522,3704.347826,4321.73913,4939.130435,5556.521739,6173.913043,6791.304348,7408.695652,8026.086957,8643.478261,9260.869565,9878.26087,10495.65217,11113.04348,11730.43478,12347.82609,12965.21739,13653.16206,14341.10672,15029.05138,15716.99605,16404.94071,17092.88538,17780.83004,18468.7747,19156.71937,19844.66403,20532.6087,21220.55336,21908.49802,22596.44269,23284.38735,23972.33202,24660.27668,25348.22134,26036.16601,26724.11067,27412.05534,28100,28787.94466,29475.88933,30163.83399,30851.77866,31539.72332,32227.66798,32915.61265,33603.55731,34291.50198,34979.44664,35667.3913,36355.33597,37043.28063,37731.2253,38419.16996,39107.11462,39795.05929,40483.00395,41170.94862,41858.89328,42546.83794,43234.78261
3,0,0,0,0,617.3913043,1234.782609,1852.173913,2469.565217,3086.956522,3704.347826,4321.73913,4939.130435,5556.521739,6173.913043,6791.304348,7408.695652,8026.086957,8643.478261,9260.869565,9878.26087,10495.65217,11113.04348,11730.43478,12347.82609,13041.10672,13734.38735,14427.66798,15120.94862,15814.22925,16507.50988,17200.79051,17894.07115,18587.35178,19280.63241,19973.91304,20667.19368,21360.47431,22053.75494,22747.03557,23440.31621,24133.59684,24826.87747,25520.1581,26213.43874,26906.71937,27600,28293.28063,28986.56126,29679.8419,30373.12253,31066.40316,31759.68379,32452.96443,33146.24506,33839.52569,34532.80632,35226.08696,35919.36759,36612.64822,37305.92885,37999.20949,38692.49012,39385.77075,40079.05138,40772.33202,41465.61265,42158.89328,42852.17391
4,0,0,0,0,0,617.3913043,1234.782609,1852.173913,2469.565217,3086.956522,3704.347826,4321.73913,4939.130435,5556.521739,6173.913043,6791.304348,7408.695652,8026.086957,8643.478261,9260.869565,9878.26087,10495.65217,11113.04348,11730.43478,12429.05138,13127.66798,13826.28458,14524.90119,15223.51779,15922.13439,16620.75099,17319.36759,18017.98419,18716.60079,19415.21739,20113.83399,20812.45059,21511.06719,22209.68379,22908.3004,23606.917,24305.5336,25004.1502,25702.7668,26401.3834,27100,27798.6166,28497.2332,29195.8498,29894.4664,30593.083,31291.6996,31990.31621,32688.93281,33387.54941,34086.16601,34784.78261,35483.39921,36182.01581,36880.63241,37579.24901,38277.86561,38976.48221,39675.09881,40373.71542,41072.33202,41770.94862,42469.56522
5,0,0,0,0,0,0,617.3913043,1234.782609,1852.173913,2469.565217,3086.956522,3704.347826,4321.73913,4939.130435,5556.521739,6173.913043,6791.304348,7408.695652,8026.086957,8643.478261,9260.869565,9878.26087,10495.65217,11113.04348,11816.99605,12520.94862,13224.90119,13928.85375,14632.80632,15336.75889,16040.71146,16744.66403,17448.6166,18152.56917,18856.52174,19560.47431,20264.42688,20968.37945,21672.33202,22376.28458,23080.23715,23784.18972,24488.14229,25192.09486,25896.04743,26600,27303.95257,28007.90514,28711.85771,29415.81028,30119.76285,30823.71542,31527.66798,32231.62055,32935.57312,33639.52569,34343.47826,35047.43083,35751.3834,36455.33597,37159.28854,37863.24111,38567.19368,39271.14625,39975.09881,40679.05138,41383.00395,42086.95652
6,0,0,0,0,0,0,0,617.3913043,1234.782609,1852.173913,2469.565217,3086.956522,3704.347826,4321.73913,4939.130435,5556.521739,6173.913043,6791.304348,7408.695652,8026.086957,8643.478261,9260.869565,9878.26087,10495.65217,11204.94071,11914.22925,12623.51779,13332.80632,14042.09486,14751.3834,15460.67194,16169.96047,16879.24901,17588.53755,18297.82609,19007.11462,19716.40316,20425.6917,21134.98024,21844.26877,22553.55731,23262.84585,23972.13439,24681.42292,25390.71146,26100,26809.28854,27518.57708,28227.86561,28937.15415,29646.44269,30355.73123,31065.01976,31774.3083,32483.59684,33192.88538,33902.17391,34611.46245,35320.75099,36030.03953,36739.32806,37448.6166,38157.90514,38867.19368,39576.48221,40285.77075,40995.05929,41704.34783
7,0,0,0,0,0,0,0,0,617.3913043,1234.782609,1852.173913,2469.565217,3086.956522,3704.347826,4321.73913,4939.130435,5556.521739,6173.913043,6791.304348,7408.695652,8026.086957,8643.478261,9260.869565,9878.26087,10592.88538,11307.50988,12022.13439,12736.75889,13451.3834,14166.00791,14880.63241,15595.25692,16309.88142,17024.50593,17739.13043,18453.75494,19168.37945,19883.00395,20597.62846,21312.25296,22026.87747,22741.50198,23456.12648,24170.75099,24885.37549,25600,26314.62451,27029.24901,27743.87352,28458.49802,29173.12253,29887.74704,30602.37154,31316.99605,32031.62055,32746.24506,33460.86957,34175.49407,34890.11858,35604.74308,36319.36759,37033.99209,37748.6166,38463.24111,39177.86561,39892.49012,40607.11462,41321.73913
8,0,0,0,0,0,0,0,0,0,617.3913043,1234.782609,1852.173913,2469.565217,3086.956522,3704.347826,4321.73913,4939.130435,5556.521739,6173.913043,6791.304348,7408.695652,8026.086957,8643.478261,9260.869565,9980.83004,10700.79051,11420.75099,12140.71146,12860.67194,13580.63241,14300.59289,15020.55336,15740.51383,16460.47431,17180.43478,17900.39526,18620.35573,19340.31621,20060.27668,20780.23715,21500.19763,22220.1581,22940.11858,23660.07905,24380.03953,25100,25819.96047,26539.92095,27259.88142,27979.8419,28699.80237,29419.76285,30139.72332,30859.68379,31579.64427,32299.60474,33019.56522,33739.52569,34459.48617,35179.44664,35899.40711,36619.36759,37339.32806,38059.28854,38779.24901,39499.20949,40219.16996,40939.13043
9,0,0,0,0,0,0,0,0,0,0,617.3913043,1234.782609,1852.173913,2469.565217,3086.956522,3704.347826,4321.73913,4939.130435,5556.521739,6173.913043,6791.304348,7408.695652,8026.086957,8643.478261,9368.774704,10094.07115,10819.36759,11544.66403,12269.96047,12995.25692,13720.55336,14445.8498,15171.14625,15896.44269,16621.73913,17347.03557,18072.33202,18797.62846,19522.9249,20248.22134,20973.51779,21698.81423,22424.11067,23149.40711,23874.70356,24600,25325.29644,26050.59289,26775.88933,27501.18577,28226.48221,28951.77866,29677.0751,30402.37154,31127.66798,31852.96443,32578.26087,33303.55731,34028.85375,34754.1502,35479.44664,36204.74308,36930.03953,37655.33597,38380.63241,39105.92885,39831.2253,40556.52174
