present,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
0,0,290.5429495,587.0153469,889.6005773,1198.489667,1513.881684,1835.98417,2165.013591,2501.195826,2844.766681,3195.972444,3555.070472,3922.329818,4298.031908,4682.471256,5075.956235,5478.809905,5891.370892,6313.994341,6747.052938,7190.938,7646.060658,8112.853128,8591.770078,9083.290105,9587.917333,10106.18314,10638.648,11185.90356,11748.57476,12327.32229,12922.8451,13535.88329,14167.22113,14817.69042,15488.17415,16179.6105,16892.99721,17629.39639,18389.9398,19175.83467,19988.37003,20828.92386,21698.97081,22600.09086,23533.97891,24502.45541,25507.47819,26551.15569,27635.76173,28763.752,29937.78269,31160.73133,32435.72034,33766.14365,35155.69689,36608.41164,38128.69451,39721.37181,41391.74068,43145.628,44989.45826,46930.33221,48976.11827,51135.55911,53418.39657,55835.51859,58399.13285,61122.973,64022.54477,67115.42133,70421.59972,73963.93371,77768.66281,81866.06338,86291.256,91085.21467,96296.0393
1,0,0,296.4723974,599.0576278,907.9467172,1223.338735,1545.441221,1874.470642,2210.652877,2554.223732,2905.429495,3264.527522,3631.786869,4007.488959,4391.928306,4785.413286,5188.266955,5600.827942,6023.451392,6456.509989,6900.395051,7355.517709,7822.310179,8301.227128,8792.747156,9297.374384,9815.640186,10348.10505,10895.36061,11458.03181,12036.77934,12632.30215,13245.34034,13876.67818,14527.14747,15197.6312,15889.06755,16602.45426,17338.85344,18099.39685,18885.29172,19697.82708,20538.38091,21408.42786,22309.54791,23243.43596,24211.91246,25216.93524,26260.61274,27345.21878,28473.20905,29647.23974,30870.18838,32145.17739,33475.6007,34865.15394,36317.86869,37838.15156,39430.82886,41101.19773,42855.08505,44698.91531,46639.78926,48685.57532,50845.01616,53127.85362,55544.97564,58108.5899,60832.43005,63732.00182,66824.87838,70131.05677,73673.39076,77478.11987,81575.52044,86000.71305,90794.67172,96005.49635
2,0,0,0,302.5852304,611.4743197,926.8663373,1248.968823,1577.998244,1914.180479,2257.751334,2608.957098,2968.055125,3335.314471,3711.016561,4095.455909,4488.940888,4891.794558,5304.355545,5726.978995,6160.037591,6603.922653,7059.045311,7525.837781,8004.754731,8496.274758,9000.901986,9519.167788,10051.63265,10598.88821,11161.55941,11740.30694,12335.82975,12948.86795,13580.20579,14230.67508,14901.15881,15592.59515,16305.98186,17042.38104,17802.92446,18588.81932,19401.35469,20241.90852,21111.95546,22013.07551,22946.96356,23915.44006,24920.46284,25964.14035,27048.74638,28176.73665,29350.76735,30573.71599,31848.70499,33179.12831,34568.68154,36021.39629,37541.67916,39134.35646,40804.72534,42558.61265,44402.44291,46343.31686,48389.10292,50548.54376,52831.38122,55248.50324,57812.1175,60535.95765,63435.52943,66528.40599,69834.58438,73376.91837,77181.64747,81279.04804,85704.24065,90498.19932,95709.02396
3,0,0,0,0,308.8890893,624.2811069,946.3835929,1275.413014,1611.595249,1955.166104,2306.371867,2665.469895,3032.729241,3408.431331,3792.870678,4186.355658,4589.209327,5001.770314,5424.393764,5857.452361,6301.337423,6756.460081,7223.252551,7702.169501,8193.689528,8698.316756,9216.582558,9749.047423,10296.30298,10858.97418,11437.72171,12033.24452,12646.28272,13277.62056,13928.08985,14598.57358,15290.00992,16003.39663,16739.79581,17500.33923,18286.23409,19098.76946,19939.32328,20809.37023,21710.49028,22644.37833,23612.85483,24617.87761,25661.55511,26746.16115,27874.15142,29048.18212,30271.13076,31546.11976,32876.54307,34266.09631,35718.81106,37239.09393,38831.77123,40502.14011,42256.02742,44099.85768,46040.73163,48086.51769,50245.95853,52528.79599,54945.91801,57509.53227,60233.37242,63132.9442,66225.82076,69531.99915,73074.33314,76879.06224,80976.46281,85401.65542,90195.61409,95406.43873
4,0,0,0,0,0,315.3920175,637.4945035,966.5239247,1302.706159,1646.277015,1997.482778,2356.580805,2723.840152,3099.542241,3483.981589,3877.466569,4280.320238,4692.881225,5115.504675,5548.563272,5992.448333,6447.570992,6914.363462,7393.280411,7884.800439,8389.427667,8907.693468,9440.158333,9987.413889,10550.08509,11128.83262,11724.35543,12337.39363,12968.73147,13619.20076,14289.68449,14981.12083,15694.50754,16430.90672,17191.45014,17977.345,18789.88037,19630.4342,20500.48114,21401.60119,22335.48924,23303.96574,24308.98852,25352.66603,26437.27206,27565.26233,28739.29303,29962.24167,31237.23067,32567.65399,33957.20722,35409.92197,36930.20484,38522.88214,40193.25102,41947.13833,43790.96859,45731.84254,47777.6286,49937.06944,52219.9069,54637.02892,57200.64318,59924.48333,62824.05511,65916.93167,69223.11006,72765.44405,76570.17315,80667.57372,85092.76633,89886.725,95097.54964
5,0,0,0,0,0,0,322.102486,651.1319072,987.3141419,1330.884997,1682.09076,2041.188788,2408.448134,2784.150224,3168.589572,3562.074551,3964.928221,4377.489207,4800.112657,5233.171254,5677.056316,6132.178974,6598.971444,7077.888394,7569.408421,8074.035649,8592.301451,9124.766316,9672.021871,10234.69308,10813.4406,11408.96342,12022.00161,12653.33945,13303.80874,13974.29247,14665.72882,15379.11552,16115.5147,16876.05812,17661.95298,18474.48835,19315.04218,20185.08912,21086.20917,22020.09722,22988.57372,23993.5965,25037.27401,26121.88004,27249.87032,28423.90101,29646.84965,30921.83866,32252.26197,33641.8152,35094.52995,36614.81283,38207.49013,39877.859,41631.74632,43475.57657,45416.45053,47462.23659,49621.67743,51904.51489,54321.6369,56885.25116,59609.09132,62508.66309,65601.53965,68907.71804,72450.05203,76254.78113,80352.1817,84777.37432,89571.33298,94782.15762
6,0,0,0,0,0,0,0,329.0294212,665.2116559,1008.782511,1359.988274,1719.086302,2086.345648,2462.047738,2846.487086,3239.972065,3642.825735,4055.386721,4478.010171,4911.068768,5354.95383,5810.076488,6276.868958,6755.785908,7247.305935,7751.933163,8270.198965,8802.66383,9349.919385,9912.59059,10491.33812,11086.86093,11699.89912,12331.23696,12981.70625,13652.18998,14343.62633,15057.01304,15793.41222,16553.95563,17339.8505,18152.38586,18992.93969,19862.98664,20764.10669,21697.99474,22666.47124,23671.49402,24715.17152,25799.77756,26927.76783,28101.79852,29324.74716,30599.73617,31930.15948,33319.71272,34772.42747,36292.71034,37885.38764,39555.75651,41309.64383,43153.47409,45094.34804,47140.1341,49299.57494,51582.4124,53999.53442,56563.14868,59286.98883,62186.5606,65279.43716,68585.61555,72127.94954,75932.67864,80030.07921,84455.27183,89249.2305,94460.05513
7,0,0,0,0,0,0,0,0,336.1822347,679.7530899,1030.958853,1390.056881,1757.316227,2133.018317,2517.457664,2910.942644,3313.796313,3726.3573,4148.98075,4582.039347,5025.924409,5481.047067,5947.839537,6426.756487,6918.276514,7422.903742,7941.169544,8473.634409,9020.889964,9583.561169,10162.30869,10757.83151,11370.8697,12002.20754,12652.67683,13323.16056,14014.59691,14727.98361,15464.3828,16224.92621,17010.82108,17823.35644,18663.91027,19533.95722,20435.07727,21368.96532,22337.44182,23342.4646,24386.1421,25470.74813,26598.73841,27772.7691,28995.71774,30270.70675,31601.13006,32990.6833,34443.39804,35963.68092,37556.35822,39226.72709,40980.61441,42824.44467,44765.31862,46811.10468,48970.54552,51253.38298,53670.505,56234.11926,58957.95941,61857.53118,64950.40774,68256.58613,71798.92012,75603.64922,79701.04979,84126.24241,88920.20108,94131.02571
8,0,0,0,0,0,0,0,0,0,343.5708552,694.7766184,1053.874646,1421.133992,1796.836082,2181.27543,2574.760409,2977.614079,3390.175065,3812.798515,4245.857112,4689.742174,5144.864832,5611.657302,6090.574252,6582.094279,7086.721507,7604.987309,8137.452174,8684.707729,9247.378934,9826.12646,10421.64928,11034.68747,11666.02531,12316.4946,12986.97833,13678.41467,14391.80138,15128.20056,15888.74398,16674.63884,17487.17421,18327.72804,19197.77498,20098.89503,21032.78308,22001.25958,23006.28236,24049.95987,25134.5659,26262.55617,27436.58687,28659.53551,29934.52451,31264.94783,32654.50106,34107.21581,35627.49869,37220.17598,38890.54486,40644.43217,42488.26243,44429.13638,46474.92244,48634.36329,50917.20075,53334.32276,55897.93702,58621.77717,61521.34895,64614.22551,67920.4039,71462.73789,75267.46699,79364.86756,83790.06017,88584.01884,93794.84348
9,0,0,0,0,0,0,0,0,0,0,351.2057631,710.3037906,1077.563137,1453.265227,1837.704574,2231.189554,2634.043223,3046.60421,3469.22766,3902.286257,4346.171319,4801.293977,5268.086447,5747.003397,6238.523424,6743.150652,7261.416454,7793.881319,8341.136874,8903.808079,9482.555604,10078.07842,10691.11661,11322.45445,11972.92374,12643.40747,13334.84382,14048.23053,14784.62971,15545.17312,16331.06799,17143.60335,17984.15718,18854.20413,19755.32418,20689.21223,21657.68873,22662.71151,23706.38901,24790.99504,25918.98532,27093.01601,28315.96465,29590.95366,30921.37697,32310.93021,33763.64496,35283.92783,36876.60513,38546.974,40300.86132,42144.69158,44085.56553,46131.35159,48290.79243,50573.62989,52990.75191,55554.36617,58278.20632,61177.77809,64270.65465,67576.83304,71119.16703,74923.89613,79021.2967,83446.48932,88240.44799,93451.27262
