etm_sector,etm_subsector,use,ghg,year,unit,value
Other,Non-specified,energetic,co2,1990,kton CO2-eq,11764.6209
Other,Non-specified,energetic,other_ghg,1990,kton CO2-eq,367.09827
Other,Non-specified,energetic,other_ghg,2019,kton CO2-eq,4.96302
Other,Other transportation,energetic,co2,1990,kton CO2-eq,1083.26692
Other,Other transportation,energetic,other_ghg,1990,kton CO2-eq,18.83713
Other,Other transportation,energetic,other_ghg,2019,kton CO2-eq,15.92923
Transport,Non-specified,energetic,co2,1990,kton CO2-eq,160293.95574
Transport,Non-specified,energetic,other_ghg,1990,kton CO2-eq,3006.8464
Transport,Non-specified,energetic,other_ghg,2019,kton CO2-eq,1702.10275
Waste,Non-specified,non_energetic,co2,1990,kton CO2-eq,0.0
Waste,Non-specified,non_energetic,co2,2019,kton CO2-eq,0.0
Waste,Non-specified,non_energetic,other_ghg,1990,kton CO2-eq,41208.89137
Waste,Non-specified,non_energetic,other_ghg,2019,kton CO2-eq,5376.59338
