key,share
industry_final_demand_for_other_minerals_wood_pellets,7.25115526523776E-02
industry_final_demand_for_other_transport_equipment_wood_pellets,0.00000000000000E+00
industry_final_demand_for_other_machinery_wood_pellets,0.00000000000000E+00
industry_final_demand_for_other_mining_wood_pellets,0.00000000000000E+00
industry_final_demand_for_other_food_wood_pellets,4.49291066139126E-01
industry_final_demand_for_other_paper_wood_pellets,1.71817483218084E-01
industry_final_demand_for_other_wood_products_wood_pellets,0.00000000000000E+00
industry_final_demand_for_other_construction_wood_pellets,0.00000000000000E+00
industry_final_demand_for_other_textile_wood_pellets,1.64685437700507E-03
industry_final_demand_for_other_non_specified_wood_pellets,3.04733043613407E-01
